run_date,index_name,close,ma20,ma20_gap_pct
2026-08-10,KOSPI,6299.66,6515.97,-3.32
2026-08-10,KOSDAQ,854.47,763.39,11.93
2026-08-11,KOSPI,6345.53,6492.90,-2.27
2026-08-11,KOSDAQ,857.84,766.31,11.94
2026-08-12,KOSPI,6579.04,6479.01,1.54
2026-08-12,KOSDAQ,858.91,770.06,11.54
2026-08-13,KOSPI,6813.34,6455.45,5.54
2026-08-13,KOSDAQ,861.37,771.65,11.63
2026-08-14,KOSPI,6977.94,6463.32,7.96
2026-08-14,KOSDAQ,864.65,775.29,11.53
2026-08-18,KOSPI,6869.83,6481.00,6.00
2026-08-18,KOSDAQ,834.2,779.52,7.01
2026-08-19,KOSPI,6471.17,6467.16,0.06
2026-08-19,KOSDAQ,824.46,783.08,5.28
2026-08-20,KOSPI,6852.58,6469.90,5.91
2026-08-20,KOSDAQ,840.89,787.57,6.77
2026-08-21,KOSPI,6912.95,6460.71,7.00
2026-08-21,KOSDAQ,801.94,788.15,1.75
2026-08-24,KOSPI,6696.96,6461.02,3.65
2026-08-24,KOSDAQ,813.33,791.41,2.77
2026-08-25,KOSPI,6742.74,6460.37,4.37
2026-08-25,KOSDAQ,827.15,794.52,4.11
2026-08-26,KOSPI,6808.21,6499.60,4.75
2026-08-26,KOSDAQ,826.87,800.57,3.28
2026-08-27,KOSPI,6912.37,6562.06,5.34
2026-08-27,KOSDAQ,837.65,809.32,3.50
2026-08-28,KOSPI,6788.88,6621.82,2.52
2026-08-28,KOSDAQ,838.41,819.00,2.37
2026-08-31,KOSPI,6820.02,6633.05,2.82
2026-08-31,KOSDAQ,834.29,824.73,1.16
2026-09-01,KOSPI,6835.8,6661.97,2.61
2026-09-01,KOSDAQ,821.25,828.92,-0.93
2026-09-02,KOSPI,6562.72,6672.16,-1.64
2026-09-02,KOSDAQ,803.98,830.09,-3.15
2026-09-03,KOSPI,6579.48,6671.22,-1.38
2026-09-03,KOSDAQ,790.21,829.62,-4.75
2026-09-04,KOSPI,6687.21,6690.76,-0.05
2026-09-04,KOSDAQ,813.5,830.21,-2.01
